nome,correlacao,total,partidos
210,0.6394230769230769,416,
507,0.6388888888888888,432,
109,0.6387832699619772,526,
151,0.6386861313868614,548,
270,0.6380597014925373,536,
26,0.6378676470588235,544,
198,0.6367265469061876,501,
202,0.6353383458646616,532,
589,0.6352941176470588,510,
9,0.6351606805293005,529,
492,0.634703196347032,438,
70,0.6341463414634146,492,
299,0.6338983050847458,590,
279,0.6336448598130842,535,
251,0.6333333333333333,330,
455,0.6331877729257642,458,
97,0.6329670329670329,455,
308,0.6308539944903582,363,
364,0.6302895322939867,449,
247,0.6297071129707112,478,
207,0.6291913214990138,507,
391,0.6274509803921569,51,
613,0.6209476309226932,401,
56,0.6193693693693694,444,
193,0.6192893401015228,394,
84,0.6190476190476191,357,
581,0.6178010471204188,573,
352,0.6163522012578616,318,
468,0.6151260504201681,595,
295,0.6144144144144145,555,
544,0.6140350877192983,57,
409,0.6136363636363636,308,
561,0.612565445026178,191,
567,0.6122881355932204,472,
517,0.6111111111111112,36,
111,0.6096997690531177,433,
209,0.6089887640449438,445,
617,0.6089743589743589,156,
514,0.6081871345029239,342,
153,0.6076923076923076,390,
78,0.606694560669456,478,
529,0.6051948051948052,385,
500,0.6047008547008547,468,
571,0.6043737574552683,503,
423,0.5989492119089317,571,
135,0.598705501618123,309,
407,0.5963541666666666,384,
170,0.5945205479452055,365,
161,0.5940298507462687,335,
13,0.59375,448,
480,0.5913978494623656,93,
334,0.5910652920962199,291,
285,0.5896860986547086,446,
556,0.5881104033970276,471,
354,0.5880503144654088,636,
427,0.5869565217391305,92,
30,0.5864332603938731,457,
436,0.5845213849287169,491,
130,0.5818181818181818,385,
483,0.5796766743648961,433,
467,0.5789473684210527,76,
620,0.574235807860262,458,
563,0.5733082706766918,532,
611,0.5714285714285714,287,
36,0.5703125,384,
208,0.56875,320,
54,0.5684931506849316,292,
32,0.5682656826568265,271,
310,0.5655737704918032,122,
12,0.563302752293578,545,
49,0.5617977528089888,178,
121,0.5598802395209581,334,
612,0.5478547854785478,606,
614,0.5457627118644067,295,
533,0.5417661097852029,419,
128,0.5414201183431953,338,
275,0.5411255411255411,462,
593,0.540650406504065,246,
336,0.5344506517690876,537,
200,0.5333333333333333,30,
98,0.5333333333333333,555,
228,0.52465483234714,507,
504,0.5234042553191489,235,
411,0.5217391304347826,184,
452,0.5185185185185185,54,
60,0.5178571428571429,504,
164,0.5043478260869565,460,
550,0.5034965034965035,143,
435,0.5,162,
261,0.5,350,
484,0.5,2,
87,0.4957698815566836,591,
28,0.4954954954954955,444,
254,0.4935897435897436,468,
367,0.4909090909090909,110,
230,0.4906832298136646,483,
446,0.49019607843137253,459,
116,0.48478260869565215,460,
459,0.47674418604651164,172,
184,0.47619047619047616,63,
263,0.4720930232558139,430,
457,0.45739910313901344,223,
361,0.45576407506702415,373,
43,0.45038167938931295,131,
564,0.4497991967871486,498,
590,0.42997542997543,407,
481,0.4264705882352941,272,
624,0.42462311557788945,398,
18,0.42417582417582417,455,
630,0.4224683544303797,632,
141,0.42021276595744683,376,
491,0.42,450,
333,0.4181360201511335,397,
542,0.4056338028169014,355,
498,0.40540540540540543,37,
132,0.40497737556561086,442,
39,0.4041095890410959,438,
625,0.40399002493765584,401,
118,0.4029535864978903,474,
269,0.4026548672566372,452,
260,0.40046838407494145,427,
519,0.4,30,
140,0.3978779840848806,377,
27,0.3945720250521921,479,
543,0.39141414141414144,396,
297,0.391304347826087,69,
362,0.39087947882736157,307,
603,0.39039039039039036,333,
91,0.3883720930232558,430,
386,0.38544474393531,371,
306,0.38461538461538464,13,
448,0.38443935926773454,437,
41,0.3835051546391753,485,
628,0.3834808259587021,339,
629,0.3793911007025761,427,
296,0.3790523690773067,401,
545,0.378076062639821,447,
332,0.3766519823788546,454,
595,0.3766519823788546,454,
62,0.375,8,
444,0.375,8,
588,0.3732394366197183,426,
175,0.37267080745341613,483,
176,0.37044967880085655,467,
344,0.37026239067055394,343,
587,0.3694690265486726,452,
31,0.3690773067331671,401,
117,0.3689727463312369,477,
68,0.36816720257234725,622,
229,0.36674259681093396,439,
82,0.36666666666666664,60,
298,0.36533957845433257,427,
496,0.3643410852713178,387,
4,0.36419753086419754,486,
237,0.36363636363636365,462,
400,0.3631578947368421,380,
360,0.3629807692307692,416,
472,0.3628808864265928,361,
106,0.36159600997506236,401,
218,0.36127167630057805,346,
274,0.36069114470842334,463,
454,0.35944700460829493,434,
605,0.3581730769230769,416,
537,0.3559322033898305,59,
291,0.35400516795865633,387,
356,0.35375494071146246,506,
440,0.35368421052631577,475,
461,0.35362997658079626,427,
485,0.35294117647058826,17,
80,0.352549889135255,451,
10,0.35251798561151076,417,
75,0.35196687370600416,483,
594,0.35172413793103446,290,
288,0.35103244837758113,339,
473,0.35071090047393366,422,
59,0.35,400,
239,0.3490364025695932,467,
50,0.345,400,
71,0.3444730077120823,389,
388,0.34345794392523366,428,
478,0.34054054054054056,370,
399,0.3384615384615385,390,
604,0.324,250,
40,0.3157894736842105,114,
292,0.3157894736842105,19,
426,0.31378299120234604,341,
189,0.2875816993464052,153,
437,0.2857142857142857,7,
560,0.28286852589641437,251,
212,0.2786885245901639,61,
206,0.2639593908629442,197,
418,0.125,32,
